Right foot rotation,Left foot rotation
-3.374,-4.90111
-3.38236,-4.80609
-3.39298,-4.72188
-3.40584,-4.65106
-3.42071,-4.59582
-3.43723,-4.55788
-3.45492,-4.53841
-3.47327,-4.53798
-3.49183,-4.55653
-3.51023,-4.59345
-3.52823,-4.64761
-3.54567,-4.71743
-3.56251,-4.80096
-3.57875,-4.89598
-3.59441,-5.00007
-3.60955,-5.11068
-3.62423,-5.2252
-3.63855,-5.34103
-3.65263,-5.45565
-3.66661,-5.56666
-3.68064,-5.6719
-3.69483,-5.76946
-3.70924,-5.8578
-3.72384,-5.93576
-3.73847,-6.00261
-3.75293,-6.058
-3.76691,-6.10201
-3.78008,-6.13506
-3.79213,-6.15794
-3.80276,-6.17176
-3.81177,-6.17791
-3.81904,-6.17802
-3.82457,-6.17388
-3.82847,-6.16733
-3.831,-6.16018
-3.83251,-6.15403
-3.8334,-6.15025
-3.83412,-6.14986
-3.83515,-6.15349
-3.83694,-6.16137
-3.83993,-6.17326
-3.84449,-6.18852
-3.85095,-6.2061
-3.85951,-6.22459
-3.87024,-6.24228
-3.88311,-6.2572
-3.89794,-6.26723
-3.91448,-6.27023
-3.93244,-6.26412
-3.95161,-6.24701
-3.97184,-6.21728
-3.9931,-6.17367
-4.01549,-6.11536
-4.03921,-6.04199
-4.0646,-5.95379
-4.09208,-5.85157
-4.12222,-5.73675
-4.15564,-5.61134
-4.19309,-5.47781
-4.23529,-5.33903
-4.28294,-5.19808
-4.33656,-5.05818
-4.39645,-4.92251
-4.46262,-4.79408
-4.53478,-4.67563
-4.61233,-4.56945
-4.6944,-4.47741
-4.77993,-4.4009
-4.86773,-4.34083
-4.9566,-4.29769
-5.04538,-4.27148
-5.13308,-4.2618
-5.21884,-4.26782
-5.30199,-4.28837
-5.38195,-4.32198
-5.45816,-4.36692
-5.53006,-4.42131
-5.59701,-4.48316
-5.65833,-4.55049
-5.7133,-4.62136
-5.76119,-4.69398
-5.80134,-4.76673
-5.83317,-4.83819
-5.85627,-4.90716
-5.87047,-4.97268
-5.87586,-5.03397
-5.87288,-5.09049
-5.86229,-5.1419
-5.84513,-5.18804
-5.82266,-5.22895
-5.79624,-5.26482
-5.76728,-5.296
-5.73707,-5.32297
-5.70673,-5.34631
-5.67717,-5.36667
-5.64907,-5.38467
-5.62287,-5.40094
-5.59882,-5.41601
-5.57696,-5.43031
-5.55722,-5.44415
-5.53943,-5.45774
-5.52339,-5.47114
-5.50886,-5.48426
-5.49565,-5.49688
-5.48358,-5.50861
-5.47252,-5.51898
-5.46242,-5.52741
-5.45326,-5.53328
-5.44511,-5.53599
-5.4381,-5.53491
-5.43237,-5.52951
-5.42812,-5.51929
-5.42549,-5.50392
-5.42461,-5.48319
-5.42555,-5.45707
-5.42832,-5.42573
-5.43282,-5.38953
-5.43888,-5.34903
-5.44623,-5.30498
-5.45448,-5.25832
-5.46316,-5.21014
-5.4717,-5.16167
-5.47944,-5.11421
-5.48567,-5.06907
-5.48961,-5.0275
-5.49044,-4.99062
-5.4873,-4.95931
-5.4793,-4.93421
-5.46555,-4.91564
-5.44516,-4.90367
-5.41737,-4.89812
-5.38155,-4.89872
-5.33726,-4.90508
-5.28439,-4.91684
-5.22316,-4.93367
-5.15422,-4.95519
-5.07871,-4.98092
-4.9983,-5.01019
-4.91513,-5.04208
-4.83178,-5.0754
-4.7511,-5.1088
-4.67612,-5.14085
-4.60983,-5.17017
-4.55504,-5.1956
-4.5142,-5.21626
-4.48918,-5.23159
-4.48117,-5.24136
-4.49057,-5.24556
-4.51695,-5.2444
-4.55904,-5.23821
-4.61489,-5.22737
-4.68196,-5.21234
-4.75739,-5.19365
-4.83819,-5.17193
-4.92149,-5.14797
-5.00465,-5.12271
-5.08537,-5.09721
-5.16178,-5.0725
-5.23245,-5.0495
-5.29637,-5.0289
-5.35292,-5.0111
-5.4018,-4.99621
-5.44301,-4.98406
-5.47681,-4.97422
-5.50363,-4.96609
-5.52413,-4.95894
-5.53904,-4.95192
-5.54922,-4.9442
-5.55556,-4.93491
-5.55891,-4.92325
-5.56009,-4.90846
-5.55977,-4.88985
-5.55854,-4.86674
-5.55678,-4.83848
-5.55474,-4.80447
-5.55255,-4.76417
-5.55018,-4.71716
-5.54757,-4.66322
-5.5446,-4.60235
-5.54117,-4.53485
-5.53723,-4.46126
-5.53282,-4.38245
-5.52806,-4.29952
-5.52321,-4.21384
-5.51861,-4.12691
-5.51469,-4.04037
-5.51192,-3.95585
-5.51077,-3.87491
-5.51174,-3.79889
-5.51523,-3.72891
-5.52163,-3.66576
-5.53121,-3.60989
-5.54416,-3.5614
-5.56051,-3.52009
-5.58017,-3.48546
-5.60282,-3.45678
-5.628,-3.43315
-5.65507,-3.41358
-5.68333,-3.39702
-5.71205,-3.38243
-5.7405,-3.36883
-5.76805,-3.35537
-5.79414,-3.34134
-5.81836,-3.32624
-5.84041,-3.30983
-5.86011,-3.29211
-5.87737,-3.27336
-5.89221,-3.25414
-5.90463,-3.23523
-5.91467,-3.21761
-5.92229,-3.20235
-5.92742,-3.19056
-5.92997,-3.18331
-5.92985,-3.18154
-5.92703,-3.18609
-5.92158,-3.19757
-5.91368,-3.21641
-5.90367,-3.24284
-5.89198,-3.27683
-5.87916,-3.31818
-5.8658,-3.36642
-5.85256,-3.42092
-5.84009,-3.48079
-5.82898,-3.54501
-5.81971,-3.61234
-5.81263,-3.68144
-5.80791,-3.75082
-5.80551,-3.81889
-5.80519,-3.88397
-5.80651,-3.94428
-5.80882,-3.99795
-5.81135,-4.04302
-5.81316,-4.0775
-5.81327,-4.09944
-5.81065,-4.10704
-5.80428,-4.09872
-5.79321,-4.07329
-5.77662,-4.03
-5.75394,-3.96865
-5.72484,-3.88968
-5.68936,-3.79413
-5.64792,-3.6837
-5.60132,-3.56066
-5.55072,-3.42778
-5.49768,-3.28826
-5.44405,-3.14555
-5.39199,-3.00322
-5.34384,-2.86483
-5.3021,-2.73371
-5.26926,-2.61288
-5.24771,-2.50493
-5.2396,-2.41197
-5.24665,-2.33563
-5.26996,-2.27706
-5.30985,-2.23697
-5.36573,-2.21572
